date | value
2012/01/01 | 1
2009-01-01 | 1
2009-01-03 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42 | 1
2012-01-11 | 1
2012-01-11 | 2147483648
2012-02-29 | 5
2012-02-30 | 5
2011-02-28 | 2
2011-02-29 | 2
2020-02-29 | 10
2021-02-29 | 10
2024-02-29 | 3.5
2023-12-31 | 0
2023-12-31 | -0.5
2023-06-15 | 1000
2023-06-15 | 1001
2023-13-01 | 5
2023-00-10 | 5
2023-04-31 | 5
2023-06-31 | 5
2023-01-01 | abc
2023-01-01
hello
 | 5
2023-01-01 | 
 | 
